name
VSG Altglienicke
Erzgebirge Aue
FC Augsburg
1. FC Union Berlin
Hertha BSC
Arminia Bielefeld
VfL Bochum
Eintracht Braunschweig
Werder Bremen
MTV Eintracht Celle
Chemnitzer FC
SV Darmstadt 98
Borussia Dortmund
Dynamo Dresden
MSV Duisburg
1. FC Düren
Fortuna Düsseldorf
SV Elversberg
FV Engers
Rot-Weiss Essen
Eintracht Frankfurt
SC Freiburg
Union Fürstenwalde
SpVgg Greuther Fürth
Hamburger SV
Hannover 96
TSV Havelse
1. FC Heidenheim
TSG Hoffenheim
FC Ingolstadt 04
Carl Zeiss Jena
1. FC Kaiserslautern
Karlsruher SC
Holstein Kiel
1. FC Köln
RB Leipzig
Bayer 04 Leverkusen
1. FC Magdeburg
1. FSV Mainz 05
SV Waldhof Mannheim
RSV Meinerzhagen
Bor. Mönchengladbach
Bayern München
TSV 1860 München
Eintracht Norderstedt
1. FC Nürnberg
FC Oberneuland
VfL Osnabrück
SC Paderborn 07
Jahn Regensburg
FC Rielasingen-Arlen
Hansa Rostock
SV Sandhausen
FC Schalke 04
1. FC Schweinfurt 05
FC St. Pauli
TSV Steinbach Haiger
VfB Stuttgart
SV Todesfelde
SSV Ulm 1846 Fußball
SV Wehen Wiesbaden
SC Wiedenbrück
VfL Wolfsburg
Würzburger Kickers
