name
RSC Anderlecht
FC Arsenal
Panathinaikos Athen
FC Barcelona
Schachtar Donezk
PSV Eindhoven
Glasgow Rangers
Sturm Graz
Hamburger SV
SC Heerenveen
Helsingborgs IF
Besiktas JK
Galatasaray SK
Dynamo Kiew
Deportivo La Coruna
Leeds United
Bayer 04 Leverkusen
Sporting Lissabon
Olympique Lyon
Real Madrid
AC Mailand
Manchester United
AS Monaco
Spartak Moskau
Bayern München
Paris St. Germain
Olympiakos Piräus
Sparta Prag
Lazio Rom
Rosenborg Trondheim
Juventus Turin
FC Valencia
