name
Ajax Amsterdam
FC Barcelona
Atalanta Bergamo
Club Brügge
Ferencvaros Budapest
FC Chelsea
Schachtar Donezk
Borussia Dortmund
Istanbul Basaksehir FK
Dynamo Kiew
FK Krasnodar
RB Leipzig
FC Liverpool
Atletico Madrid
Real Madrid
Inter Mailand
Manchester City
Manchester United
Olympique Marseille
FC Midtjylland
Bor. Mönchengladbach
Lokomotive Moskau
Bayern München
Paris St. Germain
Olympiakos Piräus
FC Porto
Stade Rennes
Lazio Rom
RB Salzburg
FC Sevilla
Zenit St. Petersburg
Juventus Turin
