name
Qarabag Agdam
AZ Alkmaar
Qairat Almaty
Vitesse Arnheim
FC Basel
Partizan Belgrad
1. FC Union Berlin
FK Bodö/Glimt
Slovan Bratislava
CFR Cluj
PSV Eindhoven
Alashkert Erewan
Anorthosis Famagusta
KAA Gent
Celtic Glasgow
Maccabi Haifa
HJK Helsinki
Fenerbahce SK
FK Jablonec
FC Kopenhagen
Leicester City
Lincoln Red Imps FC
Linzer ASK
Sorja Luhansk
Olympique Marseille
FC Midtjylland
NS Mura
Omonia Nikosia
Slavia Prag
Sparta Prag
Randers FC
Stade Rennes
AS Rom
Feyenoord Rotterdam
PAOK Saloniki
ZSKA-Sofia
Flora Tallinn
Maccabi Tel Aviv
Tottenham Hotspur
Rapid Wien
