name
FC Aberdeen
AZ Alkmaar
Ajax Amsterdam
FC Astana
Aston Villa
Cukaricki Belgrad
FK Bodö/Glimt
Slovan Bratislava
Club Brügge
Ferencvaros Budapest
AC Florenz
Eintracht Frankfurt
Servette Genf
KRC Genk
KAA Gent
Sturm Graz
Maccabi Haifa
HJK Helsinki
Besiktas JK
Fenerbahce SK
Klaksvik Itrottarfelag
UMF Breidablik
Lille OSC
Olimpija Ljubljana
FC Lugano
Sorja Luhansk
Molde FK
Zrinjski Mostar
FC Nordsjaelland
Viktoria Pilsen
Olympiakos Piräus
Ludogorez Rasgrad
Union Saint-Gilloise
PAOK Saloniki
Real Betis Sevilla
KF Ballkani Suhareka
Maccabi Tel Aviv
Spartak Trnava
Legia Warschau
Dinamo Zagreb
