name
Qarabag Agdam
Ajax Amsterdam
FC Arsenal
FC Barcelona
Roter Stern Belgrad
1. FC Union Berlin
FK Bodö/Glimt
Sporting Braga
Ferencvaros Budapest
Schachtar Donezk
PSV Eindhoven
SC Freiburg
Sturm Graz
HJK Helsinki
Fenerbahce SK
Dynamo Kiew
AEK Larnaka
Bayer 04 Leverkusen
Sporting Lissabon
Malmö FF
Manchester United
FC Midtjylland
AS Monaco
FC Nantes
Omonia Nikosia
Olympiakos Piräus
Ludogorez Rasgrad
Stade Rennes
AS Rom
Lazio Rom
Feyenoord Rotterdam
Union Saint-Gilloise
RB Salzburg
Real Sociedad San Sebastian
FC Sevilla
Real Betis Sevilla
Sheriff Tiraspol
Trabzonspor
Juventus Turin
FC Zürich
