count,name,leagues
33,Boca Juniors,COPA L (9)·ARG 1 (10)·ARG LC (8)·ARG CUP (1)·COPA S (5)
31,Estudiantes LP,COPA S (5)·ARG 1 (10)·ARG CUP (2)·ARG LC (8)·ARG SC (1)·COPA L (5)
28,CA San Lorenzo,ARG 1 (10)·COPA S (3)·ARG CUP (5)·ARG LC (7)·COPA L (3)
21,Atletico Lanus,ARG 1 (11)·ARG LC (9)·COPA S (1)
21,CA Belgrano,ARG 1 (11)·ARG CUP (1)·ARG LC (8)·COPA S (1)
20,CA River Plate,COPA L (8)·ARG 1 (10)·ARG LC (1)·ARG SC (1)
20,Racing Club,COPA L (5)·ARG 1 (11)·ARG LC (3)·COPA S (1)
20,Velez Sarsfield,ARG CUP (2)·ARG 1 (13)·ARG LC (5)
18,Barracas Central,ARG 1 (12)·ARG LC (5)·ARG CUP (1)
18,CA Central Cordoba,ARG 1 (9)·ARG LC (9)
17,Argentinos Juniors,ARG 1 (10)·ARG CUP (1)·ARG LC (6)
17,CA Banfield,ARG 1 (11)·ARG LC (6)
17,CA Sarmiento,ARG 1 (10)·ARG LC (7)
17,CA Tigre,ARG 1 (10)·COPA S (3)·ARG LC (4)
16,CA Huracan,ARG 1 (11)·COPA S (1)·ARG CUP (1)·ARG LC (3)
16,CA Platense,ARG 1 (9)·ARG CUP (1)·ARG LC (6)
16,Defensa y Justicia,ARG 1 (9)·ARG LC (7)
15,CA Rosario Central,ARG 1 (10)·ARG LC (5)
15,CA Talleres,ARG CUP (2)·ARG 1 (8)·ARG LC (1)·COPA L (4)
15,CD Godoy Cruz,ARG 1 (10)·ARG LC (3)·COPA L (2)
15,Gimnasia La Plata,ARG 1 (10)·ARG LC (5)
15,Newell's Old B.,ARG 1 (13)·ARG LC (2)
15,Union de Santa Fe,ARG 1 (10)·ARG LC (5)
14,Atletico Tucuman,ARG 1 (10)·ARG LC (4)
14,Instituto Cordoba,ARG CUP (2)·ARG 1 (9)·ARG LC (3)
11,Arsenal de Sarandi,ARG 1 (8)·ARG LC (3)
11,CA Independiente,ARG 1 (8)·ARG LC (3)
10,Colon Santa Fe,ARG 1 (7)·ARG CUP (1)·ARG LC (2)
10,Deportivo Riestra,ARG CUP (1)·ARG LC (3)·ARG 1 (6)
7,Arg. Juniors,COPA L (4)·COPA S (3)
7,Defensa y Jus.,COPA S (7)
5,Indep. Rivadavia,ARG LC (1)·ARG 1 (4)
5,Rosario Cen.,COPA L (3)·COPA S (2)
4,Patronato Par.,COPA L (2)·COPA S (2)
3,Newell's,COPA S (3)
2,CA San Martin,ARG CUP (2)
1,Argentinos Jun.,ARG CUP (1)
1,CA All Boys,ARG CUP (1)
1,Chacarita Juniors,ARG CUP (1)
1,Defensa y Justic.,ARG CUP (1)
1,Deportivo Espanol,ARG CUP (1)
1,Gimnasia LP,COPA S (1)
1,Patronato Par,COPA L (1)
1,Patronato Parana,ARG CUP (1)
1,Rosario Central,ARG CUP (1)
