count,name,leagues
17,Zrinjs. Mostar,UEFA CL (4)·UEFA EL (4)·UEFA CONF (6)·UEFA CONF Q (3)
10,FK Sarajevo,UEFA CONF (2)·BOS 1 (3)·BOS CUP (1)·UEFA CONF Q (4)
8,Zrinjski Mostar,BOS 1 (5)·BOS CUP (3)
7,Borac Banja L.,UEFA CONF (2)·UEFA CL Q (4)·UEFA EL Q (1)
5,Borac Banja Luka,BOS 1 (1)·BOS CUP (4)
5,FK Zeljeznicar,UEFA CONF (4)·BOS 1 (1)
4,NK Siroki Brijeg,BOS 1 (3)·BOS CUP (1)
2,FK Sloga Doboj,BOS 1 (1)·BOS CUP (1)
2,FK Velez Mosta,UEFA CONF Q (2)
1,FK Velez Mostar,BOS 1 (1)
1,NK Posusje,BOS 1 (1)
