count,name,leagues
41,Botafogo FR RJ,BRA CUP (5)·COPA S (7)·BRA 1 (23)·COPA L (6)
40,Corinthians SP,COPA L (3)·BRA CUP (8)·BRA 1 (21)·COPA S (8)
38,Fluminense RJ,BRA CUP (3)·COPA L (10)·BRA 1 (23)·RECOPA (2)
38,Sao Paulo SP,BRA CUP (7)·BRA 1 (25)·COPA S (2)·COPA L (4)
35,Flamengo RJ,COPA L (6)·BRA CUP (8)·BRA 1 (21)
35,RB Bragantino,COPA S (5)·BRA 1 (23)·COPA L (3)·BRA PAU (1)·BRA CUP (3)
34,Gremio RS,BRA CUP (8)·BRA 1 (21)·COPA L (5)
31,Atletico MG,COPA L (9)·BRA CUP (4)·BRA 1 (18)
31,CA Paranaense,COPA L (4)·BRA CUP (6)·BRA 1 (18)·COPA S (3)
28,EC Bahia BA,BRA CUP (6)·BRA 1 (22)
27,SE Palmeiras SP,BRA CUP (7)·BRA 1 (19)·BRA PAU (1)
25,Cruzeiro EC MG,BRA CUP (1)·BRA 1 (22)·COPA S (2)
25,Cuiaba MT,BRA 1 (22)·COPA S (3)
25,Fortaleza EC CE,BRA CUP (2)·BRA 1 (23)
23,Internacional RS,BRA CUP (3)·BRA 1 (20)
23,Vasco Da Gama RJ,BRA 1 (20)·BRA CUP (3)
22,EC Juventude RS,BRA 2 (7)·BRA 1 (12)·BRA CUP (3)
22,Santos SP,BRA CUP (1)·COPA S (2)·BRA 1 (11)·BRA PAU (1)·BRA 2 (7)
19,Criciuma EC SC,BRA 2 (6)·BRA 1 (12)·BRA CUP (1)
19,EC Vitoria BA,BRA 2 (5)·BRA 1 (12)·BRA CUP (2)
17,Goias EC GO,BRA 1 (11)·COPA S (2)·BRA 2 (2)·BRA CUP (2)
15,Atletico GO,BRA CUP (3)·BRA 1 (12)
15,CR Brasil AL,BRA 2 (13)·BRA CUP (2)
15,Mirassol FC SP,BRA 2 (15)
15,Sport Recife PE,BRA CUP (3)·BRA 2 (12)
14,America Mineiro MG,BRA CUP (3)·BRA 1 (8)·BRA 2 (3)
14,Ceara SC CE,BRA 2 (13)·BRA CUP (1)
13,Botafogo FC SP,BRA 2 (11)·BRA CUP (2)
13,Coritiba FC PR,BRA 1 (10)·BRA 2 (3)
12,Avai FC SC,BRA 2 (12)
12,Chapecoense SC,BRA 2 (12)
12,Guarani FC SP,BRA 2 (12)
12,SE Palmeiras S,COPA L (12)
12,Vila Nova GO,BRA 2 (12)
11,Ituano FC SP,BRA 2 (11)
9,Internacional,COPA L (5)·COPA S (4)
9,Novorizontino SP,BRA 2 (8)·BRA PAU (1)
8,AA Ponte Preta SP,BRA 2 (8)
8,Atl. Goianense GO,BRA 2 (7)·BRA 1 (1)
7,ABC FC RN,BRA 2 (7)
6,Fortaleza EC C,COPA S (6)
6,Londrina EC PR,BRA 2 (6)
6,Sampaio Correa FC,BRA 2 (5)·BRA CUP (1)
5,Am. Mineiro,COPA S (5)
5,Amazonas FC AM,BRA CUP (1)·BRA 2 (4)
5,Paysandu SC PA,BRA 2 (5)
5,Tombense FC MG,BRA 2 (5)
4,Operario Ferroviar,BRA CUP (1)·BRA 2 (3)
3,Brusque FC SC,BRA CUP (1)·BRA 2 (2)
1,America RN,BRA CUP (1)
1,Sousa EC PB,BRA CUP (1)
1,Ypiranga FC RS,BRA CUP (1)
