count,name,leagues
29,Young Boys Bern,SUI SL (27)·SUI CUP (2)
23,FC Basel,SUI SL (22)·SUI CUP (1)
22,FC Zürich,SUI SL (20)·SUI CUP (2)
22,Grasshoppers,SUI SL (22)
21,FC Lugano,SUI SL (18)·SUI CUP (3)
21,FC Sion,SUI SL (6)·SUI 2 (14)·SUI CUP (1)
20,Servette Genf,SUI SL (18)·SUI CUP (2)
19,FC Winterthur,SUI SL (18)·SUI CUP (1)
18,FC Aarau,SUI 2 (18)
18,FC St. Gallen,SUI SL (18)
17,FC Luzern,SUI SL (17)
17,FC Thun,SUI 2 (15)·SUI SL (2)
17,Xamax Neuchatel,SUI 2 (17)
16,Lausanne-Sport,SUI 2 (1)·SUI SL (15)
16,Yverdon-Sport,SUI 2 (1)·SUI SL (15)
15,FC Schaffhausen,SUI 2 (15)
14,FC Stade Nyonnais,SUI 2 (14)
13,AC Bellinzona,SUI 2 (12)·SUI CUP (1)
13,Lausanne-Ouchy,SUI 2 (3)·SUI SL (10)
12,FC Wil 1900,SUI 2 (12)
9,FC Vaduz,SUI 2 (9)
7,FC Baden,SUI 2 (7)
3,Rapperswil-Jona,SUI 2 (1)·SUI 3 (2)
2,Etoile Carouge FC,SUI 3 (1)·SUI 2 (1)
2,FC Bavois,SUI 3 (2)
2,FC Biel-Bienne,SUI 3 (2)
2,FC Breitenrain,SUI 3 (2)
2,FC Paradiso,SUI 3 (2)
2,SC Cham,SUI 3 (2)
2,SR Delemont,SUI CUP (1)·SUI 3 (1)
1,BSC Young Boys II,SUI 3 (1)
1,FC Basel II,SUI 3 (1)
1,FC Bulle,SUI 3 (1)
1,FC Luzern II,SUI 3 (1)
1,FC Zürich II,SUI 3 (1)
1,SC Brühl SG,SUI 3 (1)
1,SC Kriens,SUI 3 (1)
1,St. Gallen A.,SUI 3 (1)
