count,name,leagues
11,Atletico Nacional,COL 1 (9)·COL COP (2)
10,Indep. Santa Fe,COL 1 (10)
9,Los Millonarios,COL 1 (6)·COL COP (2)·COL SC (1)
8,Envigado FC,COL 1 (8)
8,Ind. Medellin,COPA L (3)·COPA S (5)
7,America de Cali,COL 1 (7)
7,Atletico Junior,COL 1 (6)·COL SC (1)
7,Boyaca Chico FC,COL 1 (7)
7,Dep.Pereira,COPA L (7)
7,Deportes Pereira,COL 1 (7)
7,Millonarios,COPA S (2)·COPA L (5)
6,Alianza Petrolera,COL 1 (6)
6,CA Bucaramanga,COL 1 (6)
6,Deportivo Pasto,COL 1 (6)
6,Indep. Medellin,COL 1 (6)
6,Rionegro Aguilas,COL 1 (6)
4,Atl. Junior,COPA L (4)
4,CD Once Caldas,COL 1 (4)
4,Dep. La Equidad,COL 1 (4)
4,Deportes Tolima,COL 1 (4)
4,Jaguares Cordoba,COL 1 (4)
4,UM Santa Marta,COL 1 (4)
3,AD Cali,COL 1 (3)
3,Alianza Valled,COPA S (3)
3,Alianza Valledupar,COL 1 (3)
3,Atletico Nac.,COPA L (3)
2,Atletico Huila,COL 1 (2)
2,B. Patriotas FC,COL 1 (2)
2,Dep.Tolima,COPA S (2)
2,FC Fortaleza,COL 1 (2)
2,Tigres FC,COL 2 (2)
1,Am. de Cali,COPA S (1)
1,Atletico FC,COL 2 (1)
1,CD Real Santander,COL 2 (1)
1,Cucuta Deportivo,COL 2 (1)
1,Deportes Quindio,COL 2 (1)
1,FC Bogota,COL 2 (1)
1,FC Llaneros,COL 2 (1)
1,Ind. Santa Fe,COPA S (1)
1,Inter. de Palmira,COL 2 (1)
1,Real Cartagena FC,COL 2 (1)
1,Rionegro Aguil,COPA L (1)
