count,name,leagues
26,Aris Limassol,UEFA CL (4)·UEFA EL (8)·CYP 1 (10)·CYP CUP (4)
19,Omonia Nikosia,CYP CUP (3)·UEFA CONF (4)·CYP 1 (9)·UEFA CONF Q (3)
16,AEK Larnaca,UEFA CONF (4)·CYP 1 (8)·CYP CUP (2)·UEFA CONF Q (2)
16,APOEL Nikosia,UEFA CONF (6)·CYP 1 (6)·CYP CUP (1)·UEFA CL Q (3)
12,Apollon Limassol,CYP 1 (7)·CYP CUP (5)
12,FC Pafos,CYP 1 (5)·CYP CUP (2)·UEFA EL Q (2)·UEFA CONF Q (3)
10,AEL Limassol,CYP CUP (3)·CYP 1 (7)
9,Ethnikos Achnas,CYP 1 (8)·CYP CUP (1)
9,Salamis Famagusta,CYP 1 (8)·CYP CUP (1)
8,Anorthosis,CYP 1 (7)·CYP CUP (1)
8,Doxa Katokopias,CYP 1 (8)
7,Othellos Athienou,CYP 1 (6)·CYP CUP (1)
6,AEZ Zakakiou,CYP 1 (6)
5,Karmiotissa,CYP 1 (5)
