count,name,leagues
56,Bayern München,GER BL (42)·GER SC (1)·UEFA CL (12)·GER CUP (1)
54,RB Leipzig,GER BL (41)·GER CUP (4)·GER SC (1)·UEFA CL (8)
52,SC Freiburg,GER BL (41)·UEFA EL (10)·GER CUP (1)
50,Union Berlin,GER BL (43)·UEFA CL (6)·GER CUP (1)
46,Bayer Leverkusen,GER BL (41)·GER CUP (5)
46,Eintr. Frankfurt,GER BL (41)·GER CUP (5)
46,VfB Stuttgart,GER BL (43)·GER CUP (3)
45,Mönchengladbach,GER BL (41)·GER CUP (4)
44,1. FC Köln,GER BL (41)·GER CUP (2)·GER 2 (1)
44,FSV Mainz 05,GER BL (42)·GER CUP (2)
44,VfL Bochum,GER BL (43)·GER CUP (1)
43,Borussia Dortmund,GER BL (41)·GER CUP (2)
43,SV Darmstadt 98,GER 2 (2)·GER CUP (1)·GER BL (40)
43,TSG Hoffenheim,GER BL (41)·GER CUP (2)
43,VfL Wolfsburg,GER BL (41)·GER CUP (2)
42,FC Augsburg,GER BL (41)·GER CUP (1)
42,FC Heidenheim,GER 2 (1)·GER BL (40)·GER CUP (1)
42,Fortuna Düsseldorf,GER 2 (36)·GER CUP (4)·GER BL (2)
42,SV Werder Bremen,GER BL (41)·GER CUP (1)
41,FC Kaiserslautern,GER 2 (36)·GER CUP (5)
41,Hamburger SV,GER 2 (36)·GER BL (2)·GER CUP (3)
40,Hertha BSC,GER BL (1)·GER 2 (35)·GER CUP (4)
40,Wehen Wiesbaden,GER 2 (38)·GER CUP (1)·GER 3 (1)
39,FC Magdeburg,GER 2 (36)·GER CUP (3)
39,FC Schalke 04,GER BL (1)·GER 2 (36)·GER CUP (2)
39,SC Paderborn,GER 2 (36)·GER CUP (3)
38,1. FC Nürnberg,GER 2 (36)·GER CUP (2)
38,FC St. Pauli,GER 2 (35)·GER CUP (3)
38,Greuther Fürth,GER 2 (36)·GER CUP (2)
38,Hansa Rostock,GER 2 (35)·GER CUP (2)·GER 3 (1)
37,E. Braunschweig,GER 2 (36)·GER CUP (1)
37,Hannover 96,GER 2 (36)·GER CUP (1)
37,VfL Osnabrück,GER 2 (35)·GER CUP (1)·GER 3 (1)
36,Holstein Kiel,GER 2 (35)·GER CUP (1)
36,Karlsruher SC,GER 2 (35)·GER CUP (1)
35,SV Elversberg,GER 2 (34)·GER CUP (1)
22,Arminia Bielefeld,GER 2 (3)·GER 3 (17)·GER CUP (2)
21,FC Saarbrücken,GER 3 (16)·GER CUP (5)
18,SV Sandhausen,GER 2 (1)·GER 3 (15)·GER CUP (2)
15,W. Mannheim,GER 3 (15)
14,Bor. Dortmund,UEFA CL (14)
14,TSV 1860 München,GER 3 (14)
14,Unterhaching,GER 3 (12)·GER CUP (2)
13,Dynamo Dresden,GER 3 (13)
13,Leverkusen,UEFA EL (13)
13,MSV Duisburg,GER 3 (13)
13,Rot-Weiss Essen,GER 3 (12)·GER CUP (1)
12,Bor. Dortmund II,GER 3 (12)
12,FC Viktoria Köln,GER 3 (10)·GER CUP (2)
12,Hallescher FC,GER 3 (11)·GER CUP (1)
12,Jahn Regensburg,GER 2 (4)·GER 3 (7)·GER CUP (1)
11,Erzgebirge Aue,GER 3 (11)
11,FC Ingolstadt,GER 3 (11)
11,SC Verl,GER 3 (11)
10,E. Frankfurt,UEFA CONF (10)
10,Preussen Münster,GER 3 (8)·GER CUP (1)·GER 2 (1)
10,SSV Ulm 1846,GER 3 (9)·GER 2 (1)
10,VfB Lübeck,GER 3 (9)·GER CUP (1)
9,SC Freiburg II,GER 3 (9)
3,FC Homburg,GER CUP (3)
2,Energie Cottbus,GER CUP (1)·GER 3 (1)
1,Alemannia Aachen,GER 3 (1)
1,FC Carl Zeiss Jena,GER CUP (1)
1,FSV Frankfurt,GER CUP (1)
1,Hannover 96 Amat.,GER 3 (1)
1,Lokomotive Leipzig,GER CUP (1)
1,VfB Stuttgart Am.,GER 3 (1)
