count,name,leagues
3,Delfin SC,ECU 1 (3)
2,Barcelona Guaya.,ECU 1 (2)
2,CD Catolica,ECU 1 (2)
2,CSD Vargas Torres,ECU 2 (2)
2,Club Sport Emelec,ECU 1 (2)
2,Cuniburo FC,ECU 2 (2)
2,Imbabura SC,ECU 2 (1)·ECU 1 (1)
2,Libertad Loja,ECU 1 (2)
2,Mushuc Runa SC,ECU 1 (2)
1,9 de Octubre FC,ECU 2 (1)
1,Buhos ULVR FC,ECU 2 (1)
1,CD Cuenca,ECU 1 (1)
1,CD Tecnico Univers,ECU 1 (1)
1,CSD Macara,ECU 2 (1)
1,Cumbaya FC,ECU 1 (1)
1,El Nacional Quito,ECU 1 (1)
1,Gualaceo SC,ECU 1 (1)
1,Guayaquil City FC,ECU 1 (1)
1,Indep. del Valle,ECU 1 (1)
1,Independ. Juniors,ECU 2 (1)
1,LDU Quito,ECU 1 (1)
1,Manta FC,ECU 2 (1)
1,Orense SC,ECU 1 (1)
1,SD Aucas,ECU 1 (1)
