count,name,leagues
17,Al Ahly Kairo,EGY 1 (16)·EG SC (1)
16,El Zamalek,EGY 1 (14)·EGT CUP (2)
14,Pyramids FC,EGY 1 (12)·EGT CUP (1)·EG SC (1)
12,Enppi Club,EGY 1 (12)
12,Ismaily SC,EGY 1 (12)
10,Nat. Bank Egypt,EGY 1 (9)·EGT CUP (1)
10,Pharco FC,EGY 1 (9)·EGT CUP (1)
9,Talaea El Gaish,EGY 1 (8)·EGT CUP (1)
8,Ceramica Cleopatra,EGT CUP (1)·EGY 1 (6)·EG SC (1)
8,El Daklyeh,EGY 1 (8)
7,Al-Masry Club,EGY 1 (6)·EGT CUP (1)
7,Arab Contractors,EGY 1 (5)·EGT CUP (2)
7,El Gouna FC,EGY 1 (7)
6,Al Ittihad,EGT CUP (1)·EGY 1 (5)
6,Future FC,EGY 1 (5)·EG SC (1)
6,ZED FC,EGY 1 (6)
5,Ghazl El Mahallah,EGY 1 (5)
5,Modern Sport FC,EGY 1 (5)
5,Smouha SC,EGY 1 (5)
4,Aswan FC,EGY 1 (4)
4,Baladiyyat Mehalla,EGY 1 (4)
4,Haras El Hodood,EGY 1 (3)·EGT CUP (1)
