count,name,leagues
17,Dinamo Zagreb,UEFA CL (5)·UEFA EL (2)·UEFA CONF (10)
14,HNK Rijeka,UEFA CONF (6)·CRO 1 (1)·CRO CUP (4)·UEFA EL Q (3)
10,NK Dinamo Zagreb,CRO SC (1)·CRO 1 (5)·CRO CUP (4)
9,NK Osijek,CRO 1 (2)·UEFA CONF (4)·UEFA CONF Q (3)
6,HNK Hajduk Split,CRO CUP (3)·CRO SC (1)·CRO 1 (2)
5,Hajduk Split,UEFA CONF (2)·UEFA CONF Q (3)
5,NK Varazdin SN,CRO 1 (4)·CRO CUP (1)
4,HNK Gorica,CRO 1 (3)·CRO CUP (1)
3,Lokomotiva Zagreb,CRO 1 (2)·CRO CUP (1)
3,NK Istra 1961,CRO 1 (3)
3,NK Slaven Belupo,CRO 1 (3)
2,NK Rudes,CRO CUP (1)·CRO 1 (1)
1,HNK Orijent 1919,CRO 2 (1)
1,HNK Sibenik,CRO CUP (1)
1,NK Vukovar 1991,CRO 2 (1)
