count,name,leagues
31,Maccabi Haifa,UEFA CL (8)·UEFA EL (6)·ISR 1 (11)·UEFA CONF (4)·UEFA CONF Q (2)
14,Beitar Jerusalem,ISR 1 (13)·ISR LCP (1)
13,Macc. Tel Aviv,UEFA CONF (11)·UEFA CL Q (1)·UEFA EL Q (1)
12,Hapoel Haifa,ISR 1 (11)·ISR LCP (1)
12,Maccabi Tel Aviv,ISR LCP (1)·ISR 1 (10)·ISR SC (1)
10,Hap. Beer Sheva,ISR LCP (1)·ISR 1 (8)·ISR CUP (1)
9,Mac. Petach Tikva,ISR 1 (6)·ISR CUP (2)·ISR SC (1)
8,Hapoel Tel Aviv,ISR 1 (8)
7,Bnei Sakhnin FC,ISR 1 (6)·ISR LCP (1)
7,H. Beer Sheva,UEFA CONF (4)·UEFA CONF Q (3)
7,H. Petach Tikva,ISR 1 (6)·ISR CUP (1)
6,Ashdod SC,ISR 1 (5)·ISR LCP (1)
6,I. Ramat Hasharon,ISR 2 (5)·ISR CUP (1)
6,Maccabi Bnei Reine,ISR 1 (6)
6,Maccabi Herzliya,ISR 2 (6)
6,Sectzya Nes Ziona,ISR 2 (6)
5,Hap. Rishon LeZion,ISR 2 (5)
5,Hapoel Akko,ISR 2 (5)
5,Hapoel Hadera,ISR 1 (4)·ISR LCP (1)
5,Ironi K. Shmona,ISR 2 (3)·ISR CUP (1)·ISR LCP (1)
5,Ironi Tiberias,ISR 2 (4)·ISR LCP (1)
4,Bnei Yehuda,ISR 2 (3)·ISR CUP (1)
4,Hapoel Jerusalem,ISR 1 (3)·ISR LCP (1)
4,M. Tel Aviv,UEFA CONF (3)·UEFA CL Q (1)
4,SC Kfar Qasem,ISR 2 (4)
3,Hapoel Kfar Saba,ISR 2 (3)
3,Maccabi Netanya,ISR 1 (3)
2,Beitar Jerus.,UEFA CONF (2)
2,El Fahem,ISR 2 (2)
2,Hapoel Nof HaGalil,ISR 2 (2)
2,Hapoel Ramat Gan,ISR 2 (2)
2,Ihud Shefa-AMR,ISR 2 (2)
2,M. Petach Tik,UEFA EL Q (1)·UEFA CONF Q (1)
2,Maccabi Jaffa,ISR 2 (2)
1,H. Nof HaGalil,ISR CUP (1)
1,M. Petach Tikv,UEFA EL Q (1)
