count,name,leagues
39,Breidablik,ISL 1 (16)·ISL CUP (2)·UEFA CL (6)·UEFA EL (2)·UEFA CONF (8)·ISL LCA (1)·UEFA CONF Q (4)
24,KA Akureyri,ISL 1 (13)·ISL CUP (5)·UEFA CONF (6)
21,KR Reykjavik,ISL 1 (18)·ISL CUP (3)
19,Fram Reykjavik,ISL 1 (18)·ISL CUP (1)
19,Fylkir Reykjavik,ISL 1 (18)·ISL CUP (1)
18,Vikingur Reykjavik,ISL 1 (13)·ISL CUP (5)
17,Afturelding,ISL 2 (17)
17,FH Hafnarfjördur,ISL 1 (15)·ISL CUP (1)·ISL LCA (1)
17,Keflavik IF,ISL 1 (10)·ISL 2 (7)
17,Stjarnan Gardab.,ISL CUP (3)·ISL 1 (14)
17,Valur Reykjavik,ISL 1 (16)·ISL CUP (1)
16,Fjölnir,ISL 2 (15)·ISL CUP (1)
16,UMF Grindavik,ISL 2 (14)·ISL CUP (1)·ISL LCA (1)
15,HK Kopavogs,ISL 1 (15)
15,IA Akranes,ISL 2 (7)·ISL LCA (1)·ISL 1 (7)
15,Throttur Reykjavik,ISL 2 (15)
13,Grotta,ISL 2 (13)
12,Leiknir Reykjavik,ISL 2 (12)
12,Thor Akureyri,ISL CUP (3)·ISL 2 (9)
12,UMF Njardvik,ISL 2 (12)
11,IBV Vestmannaeyjar,ISL 1 (7)·ISL 2 (4)
9,IF Vestri,ISL 2 (2)·ISL CUP (1)·ISL 1 (6)
7,UMF Selfoss,ISL 2 (7)
7,Vikingur Reykj,UEFA CONF (2)·UEFA CL Q (2)·UEFA CONF Q (3)
6,IR Reykjavik,ISL 2 (6)
5,KF Aegir,ISL 2 (5)
4,Dalvik/Reynir,ISL 3 (1)·ISL 2 (3)
4,Stjarnan Gard.,UEFA CONF Q (4)
4,Valur Reykj.,UEFA CONF Q (4)
1,KFG Gardabaer,ISL 3 (1)
1,Throttur Vogum,ISL 3 (1)
1,Völsungur,ISL 3 (1)
