count,name,leagues
46,AC Fiorentina,ITA CUP (5)·ITA A (40)·ITA SC (1)
46,Atalanta Bergamo,ITA A (41)·ITA CUP (5)
45,Juventus Turin,ITA A (40)·ITA CUP (5)
45,Lazio Rom,ITA A (40)·ITA CUP (4)·ITA SC (1)
43,Bologna FC,ITA A (39)·ITA CUP (4)
43,Inter Mailand,ITA CUP (2)·ITA A (40)·ITA SC (1)
42,AC Milan,ITA A (40)·ITA CUP (2)
42,AS Roma,ITA A (40)·ITA CUP (2)
42,FC Torino,ITA A (40)·ITA CUP (2)
42,SSC Napoli,ITA A (40)·ITA CUP (1)·ITA SC (1)
41,Salernitana Calcio,ITA A (39)·ITA CUP (2)
40,Udinese Calcio,ITA A (38)·ITA CUP (2)
39,FC Genua,ITA CUP (3)·ITA A (36)
38,Cagliari Calcio,ITA B (4)·ITA A (32)·ITA CUP (2)
38,US Sassuolo,ITA A (36)·ITA CUP (2)
37,Hellas Verona,ITA A (36)·ITA CUP (1)
37,US Lecce,ITA A (36)·ITA CUP (1)
36,AC Monza,ITA A (36)
36,FC Empoli,ITA A (36)
35,Frosinone Calcio,ITA A (32)·ITA CUP (3)
16,Sampdoria Genua,ITA A (2)·ITA CUP (2)·ITA B (12)
15,Palermo FC,ITA B (15)
15,Spezia Calcio,ITA A (3)·ITA CUP (2)·ITA B (10)
15,US Cremonese,ITA A (2)·ITA CUP (2)·ITA B (11)
14,US Catanzaro,ITA CUP (1)·ITA B (13)
13,AS Bari,ITA B (13)
13,Venezia FC,ITA CUP (1)·ITA B (12)
12,FC Parma,ITA B (10)·ITA CUP (2)
12,US Avellino,ITA C1C (10)·ITACUPR (2)
11,Brescia Calcio,ITA B (11)
10,Catania Calcio,ITA C1C (6)·ITACUPR (4)
10,FC Casertana,ITA C1C (10)
10,Padua Calcio,ITA C1A (8)·ITACUPR (2)
9,Benevento Calcio,ITA C1C (9)
9,Taranto Sport,ITA C1C (9)
8,Cosenza Calcio,ITA B (8)
8,Juve Stabia,ITA C1C (7)·ITACUPR (1)
8,Potenza SC,ITA C1C (8)
8,Rimini Calcio,ITA C1B (6)·ITACUPR (2)
8,US Foggia,ITA C1C (8)
7,AC Cesena,ITA CUP (1)·ITA C1B (6)
7,AC Reggiana,ITA B (6)·ITA CUP (1)
7,AS Gubbio,ITA C1B (7)
7,Delfino Pescara,ITA C1B (6)·ITACUPR (1)
7,FC Crotone,ITA CUP (1)·ITACUPR (1)·ITA C1C (5)
7,FC Giugliano 1928,ITA C1C (7)
7,FC Modena,ITA CUP (1)·ITA B (6)
7,FC Südtirol,ITA B (6)·ITA CUP (1)
7,LR Vicenza,ITA C1A (6)·ITACUPR (1)
7,Lucchese Libertas,ITA C1B (5)·ITACUPR (2)
7,Perugia Calcio,ITA C1B (7)
7,SC Pisa,ITA B (7)
7,SSD Brindisi,ITA C1C (7)
6,AC Renate,ITA C1A (6)
6,ASD Pineto Calcio,ITA C1B (6)
6,Ascoli FC,ITA B (6)
6,Calcio Lecco,ITA B (6)
6,Feralpisalò,ITA CUP (1)·ITA B (5)
6,Fiorenzuola 1922,ITA C1A (6)
6,Pro Vercelli,ITA C1A (6)
6,Ternana Calcio,ITA B (6)
6,Vis Pesaro 1898,ITA C1B (6)
5,AC Monopoli,ITA C1C (5)
5,ASD Torres Calcio,ITA C1B (5)
5,ASD Turris Calcio,ITA C1C (5)
5,AZ Picerno,ITA C1C (5)
5,Audace Cerignola,ITA C1C (5)
5,Pergolettese 1932,ITA C1A (5)
5,Sestri Levante,ITA C1B (5)
5,Sorrento Calcio,ITA C1C (5)
5,US Fermana,ITA C1B (5)
5,Virtus Entella,ITA C1B (5)
5,Virtus Francavilla,ITA C1C (5)
4,AC Arezzo,ITA C1B (4)
4,AS Cittadella,ITA B (4)
4,Como Calcio,ITA B (4)
4,Latina Calcio,ITA C1C (4)
4,Novara Calcio,ITA C1A (4)
3,AC Pro Sesto,ITA C1A (3)
3,Alessandria Calcio,ITA C1A (3)
3,Carrarese Calcio,ITA C1B (3)
3,Messina FC,ITA C1C (3)
3,Nuova Monterosi,ITA C1C (3)
3,Recanatese 1923,ITA C1B (3)
3,Triestina Calcio,ITA C1A (3)
3,UC Albinoleffe,ITA C1A (3)
2,AC Lumezzane,ITA C1A (2)
2,AC Mantova,ITA C1A (2)
2,AC Trento,ITA C1A (2)
2,Arzignano Valchia.,ITA C1A (2)
2,Atalanta BC U23,ITA C1A (2)
2,Legnago Salus SSD,ITA C1A (2)
2,Olbia Calcio,ITA C1B (2)
2,Pontedera,ITA C1B (2)
2,Spal Ferrara,ITA C1B (2)
2,US Ancona 1905,ITA C1B (2)
1,Juventus Turin U23,ITA C1B (1)
1,Pro Patria,ITA C1A (1)
1,Reggina 1914,ITA B (1)
