count,name,leagues
13,CF Pachuca,MEX 1 (7)·CONCACAF CL (5)·USMXLC (1)
12,Club America,MEX 1 (6)·CONCACAF CL (6)
10,CF Monterrey,USMXLC (2)·CONCACAF CL (6)·MEX 1 (2)
10,Club Leon,CCC CL (1)·MEX 1 (8)·USMXLC (1)
10,UANL Tigres,USMXLC (2)·MEX 1 (4)·CONCACAF CL (4)
8,Mazatlan FC,MEX 1 (6)·USMXLC (2)
8,Necaxa,MEX 1 (6)·USMXLC (2)
7,FC Juarez,MEX 1 (5)·USMXLC (2)
7,Santos Laguna,MEX 1 (5)·USMXLC (2)
6,FC Puebla,MEX 1 (4)·USMXLC (2)
6,Guadalajara Chivas,MEX 1 (6)
6,San Luis,USMXLC (2)·MEX 1 (4)
5,Club Tijuana,MEX 1 (5)
5,Cruz Azul,MEX 1 (4)·USMXLC (1)
5,UNAM Pumas,MEX 1 (5)
4,Deportivo Toluca,MEX 1 (4)
3,Atlas FC,MEX 1 (3)
3,Cancun FC,MEX 2 (3)
3,Guadalajara C.,CONCACAF CL (3)
3,Queretaro FC,USMXLC (1)·MEX 1 (2)
3,Venados FC,MEX 2 (3)
2,Atlante FC,MEX 2 (2)
2,Atletico Morelia,MEX 2 (2)
2,Cimarrones Sonora,MEX 2 (2)
2,Correcaminos UAT,MEX 2 (2)
2,Mineros Zacatecas,MEX 2 (2)
2,Tepatitlan FC,MEX 2 (2)
2,Tlaxcala FC,MEX 2 (2)
1,Aleb. de Oaxaca,MEX 2 (1)
1,CD Leones Negros,MEX 2 (1)
1,CD Tapatio,MEX 2 (1)
1,Club Atl. La Paz,MEX 2 (1)
1,Club Celaya,MEX 2 (1)
1,Dep. Toluca,CONCACAF CL (1)
1,Dorados de Sinaloa,MEX 2 (1)
