count,name,leagues
6,FC Cliftonville,NIRL 1 (5)·NIR CHS (1)
5,FC Linfield,NIRL 1 (4)·NIRL LC (1)
5,Larne,NIR CHS (2)·NIRL 1 (3)
4,Crusaders Belfast,NIR CHS (1)·NIRL 1 (3)
4,Glentoran Belfast,NIRL 1 (4)
3,FC Carrick Rangers,NIRL 1 (3)
3,FC Dungannon,NIRL 1 (2)·NIRL LC (1)
3,FC Glenavon,NIRL LC (1)·NIRL 1 (2)
2,FC Coleraine,NIRL 1 (2)
2,FC Institute,NIRL 2 (2)
2,FC Portadown,NIRL LC (1)·NIRL 2 (1)
1,Ballymena United,NIRL 1 (1)
1,FC Annagh United,NIRL 1 (1)
1,FC Ards,NIRL 2 (1)
1,FC Bangor,NIRL 2 (1)
1,FC Dundela,NIRL 2 (1)
1,Knockbreda,NIRL 2 (1)
1,Loughgall,NIRL 1 (1)
1,Newington FC,NIRL 2 (1)
1,Newry City AFC,NIRL 1 (1)
