count,name,leagues
21,PSV Eindhoven,NL 1 (16)·NL SC (2)·NL CUP (3)
20,Ajax Amsterdam,NL 1 (20)
20,Feyenoord,NL SC (2)·NL 1 (13)·NL CUP (5)
20,NAC Breda,NL 1 (6)·NL 2 (14)
18,FC Emmen,NL 1 (5)·NL 2 (12)·NL CUP (1)
18,VVV Venlo,NL 1 (2)·NL 2 (15)·NL CUP (1)
17,SC Cambuur,NL 2 (12)·NL CUP (5)
17,Twente Enschede,NL 1 (15)·NL CUP (2)
17,Willem II Tilburg,NL 1 (1)·NL 2 (15)·NL CUP (1)
16,MVV Maastricht,NL 1 (1)·NL 2 (14)·NL CUP (1)
15,De Graafschap,NL CUP (1)·NL 2 (13)·NL 1 (1)
15,FC Groningen,NL 2 (11)·NL CUP (4)
14,AZ Alkmaar,NL 1 (12)·NL CUP (2)
14,FC Den Bosch,NL 2 (13)·NL CUP (1)
14,FC Eindhoven,NL 1 (1)·NL 2 (11)·NL CUP (2)
14,Roda JC Kerkrade,NL 2 (12)·NL CUP (1)·NL 1 (1)
13,ADO Den Haag,NL 2 (9)·NL CUP (2)·NL 1 (2)
13,Excel. Rotterdam,NL 1 (11)·NL CUP (2)
13,FC Utrecht,NL 1 (11)·NL CUP (2)
13,NEC Nijmegen,NL 1 (8)·NL CUP (5)
12,FC Dordrecht,NL 2 (10)·NL CUP (1)·NL 1 (1)
12,FC Oss,NL CUP (1)·NL 2 (11)
12,Helmond Sport,NL 2 (12)
12,SC Heerenveen,NL 1 (10)·NL CUP (2)
12,Vitesse Arnheim,NL 1 (9)·NL CUP (3)
11,Almere City FC,NL 1 (10)·NL CUP (1)
11,SC Telstar,NL 2 (11)
10,Fortuna Sittard,NL 1 (7)·NL CUP (3)
10,Go Ahead Eagles,NL 1 (9)·NL CUP (1)
10,Sparta Rotterdam,NL 1 (10)
9,Heracles Almelo,NL 1 (9)
7,FC Volendam,NL 1 (7)
5,RKC Waalwijk,NL 1 (4)·NL CUP (1)
4,FC Zwolle,NL 1 (4)
3,Jong AZ Alkmaar,NL 2 (3)
3,Jong Ajax Amst.,NL 2 (3)
2,Jong FC Utrecht,NL 2 (2)
1,Amsterdamsche FC,NL CUP (1)
1,Excel. Maassluis,NL CUP (1)
1,Jong PSV Eindh.,NL 2 (1)
1,K.V.V. Quick Boys,NL CUP (1)
1,USV Hercules,NL CUP (1)
