count,name,leagues
44,Molde FK,NOR 1 (20)·NOR CUP (5)·UEFA CL (6)·UEFA EL (6)·UEFA CONF (4)·UEFA EL Q (3)
43,Bodö Glimt,NOR 1 (20)·NOR CUP (6)·UEFA CONF (14)·UEFA CL Q (3)
24,Rosenborg BK,NOR 1 (19)·UEFA CONF (4)·NOR CUP (1)
24,Tromsö IL,NOR 1 (19)·NOR CUP (2)·UEFA CONF Q (3)
23,HamKam,NOR 1 (20)·NOR CUP (3)
23,Viking FK,NOR 1 (20)·NOR CUP (3)
22,Sarpsborg 08,NOR CUP (4)·NOR 1 (18)
21,Lilleström SK,NOR 1 (19)·NOR CUP (2)
21,Valerenga IF,NOR 1 (8)·NOR CUP (5)·NOR 2 (8)
19,Sandefjord Fotball,NOR 1 (19)
18,Brann Bergen,NOR 1 (11)·NOR CUP (3)·UEFA CONF (4)
18,Fredrikstad FK,NOR CUP (3)·NOR 2 (5)·NOR 1 (10)
18,Kristiansund BK,NOR CUP (2)·NOR 2 (7)·NOR 1 (9)
18,Odds BK,NOR CUP (1)·NOR 1 (17)
18,Stabaek IF,NOR 1 (9)·NOR CUP (1)·NOR 2 (8)
17,KFUM Oslo,NOR 2 (5)·NOR CUP (1)·NOR 1 (11)
17,Raufoss IL,NOR CUP (4)·NOR 2 (13)
16,Aalesunds FK,NOR CUP (1)·NOR 1 (8)·NOR 2 (7)
16,FK Haugesund,NOR 1 (16)
16,Moss FK,NOR CUP (1)·NOR 2 (15)
15,Mjöndalen,NOR CUP (1)·NOR 2 (14)
15,Sogndal Fotball,NOR CUP (2)·NOR 2 (13)
14,Aasane Fotball,NOR 2 (14)
14,Bryne FK,NOR 2 (13)·NOR CUP (1)
13,IK Start,NOR 2 (13)
13,Kongsvinger IL,NOR 2 (13)
13,Ranheim IL,NOR CUP (1)·NOR 2 (12)
13,Sandnes Ulf,NOR 2 (13)
12,SK Brann,NOR 1 (10)·UEFA CONF Q (2)
11,Strömsgodset,NOR 1 (10)·NOR CUP (1)
11,Strömsgodset IF,NOR CUP (2)·NOR 1 (9)
9,FK Lyn,NOR 3 (1)·NOR 2 (8)
8,Egersunds IK,NOR 2 (8)
7,Levanger FK,NOR 3 (1)·NOR 2 (5)·NOR CUP (1)
6,FK Jerv,NOR 2 (6)
5,Hödd IL,NOR 2 (5)
5,Skeid Fotball,NOR 2 (5)
3,FK Gjovik-Lyn,NOR 3 (2)·NOR CUP (1)
3,Kjelsaas,NOR 3 (1)·NOR CUP (2)
3,Valerenga IF 2,NOR 3 (3)
2,Aalesund 2,NOR 3 (2)
2,Strömsgodset 2,NOR 3 (2)
1,Baerum,NOR 3 (1)
1,Brattvaag,NOR CUP (1)
1,FK Arendal,NOR 3 (1)
1,Flekkeröy IL,NOR 3 (1)
1,Grorud IL,NOR 3 (1)
1,Kvik Halden FK,NOR 3 (1)
1,Sotra SK,NOR 3 (1)
1,Stjordals-Blink,NOR CUP (1)
1,Strömmen IF,NOR 3 (1)
1,Tromsdalen UIL,NOR 3 (1)
1,Ullensaker/Kisa,NOR 3 (1)
1,Ullern,NOR 3 (1)
