count,name,leagues
23,Legia Warschau,POL SC (1)·POL 1 (4)·UEFA CONF (14)·POL CUP (1)·UEFA CONF Q (3)
17,Pogon Szczecin,POL 1 (9)·UEFA CONF (4)·POL CUP (4)
14,Gornik Zabrze,POL 1 (14)
14,Rakow Czestoch,UEFA CL (8)·UEFA EL (6)
13,Lech Posen,UEFA CONF (4)·POL 1 (7)·POL CUP (2)
13,Slask Wroclaw,POL 1 (10)·UEFA CONF Q (3)
11,FKS Stal Mielec,POL 1 (11)
11,KS Warta Posen,POL 1 (11)
11,Wisla Krakau,POL 2 (1)·POL CUP (5)·UEFA EL Q (4)·UEFA CONF Q (1)
11,Zaglebie Lubin,POL 1 (10)·POL CUP (1)
10,Piast Gliwice,POL 1 (8)·POL CUP (2)
10,Pusz. Niepolomice,POL 2 (1)·POL 1 (9)
10,Rakow Czestochowa,POL SC (1)·POL 1 (7)·POL CUP (2)
10,Ruch Chorzow,POL 1 (10)
9,Jagiellonia Bial.,POL 1 (6)·POL CUP (3)
9,Korona Kielce,POL 1 (8)·POL CUP (1)
9,LKS Lodz,POL 1 (8)·POL CUP (1)
9,Widzew Lodz,POL 1 (7)·POL CUP (2)
8,Cracovia Krakau,POL 1 (7)·POL CUP (1)
7,RKS Radomiak,POL 1 (7)
4,ZKS Stal Rzeszow,POL 2 (3)·POL CUP (1)
3,Arka Gdynia 1929,POL CUP (2)·POL 2 (1)
3,Jagiellonia B.,UEFA CL Q (3)
3,KS Lechia Gdansk,POL 2 (1)·POL 1 (2)
2,GKS Tychy 71,POL CUP (1)·POL 2 (1)
2,Podbeskidzie Biala,POL CUP (1)·POL 2 (1)
1,GKS Gornik Leczna,POL 2 (1)
1,KS Wisla Pulawy,POL CUP (1)
1,LKP Motor Lublin,POL 1 (1)
1,Miedz Legnica,POL 2 (1)
1,Nieciecza KS,POL 2 (1)
1,OKS Odra Opole,POL 2 (1)
1,Polonia Bytom,POL CUP (1)
1,Polonia Warschau,POL CUP (1)
1,Resovia Rzeszow,POL CUP (1)
1,Wisla Plock,POL 2 (1)
