count,name,leagues
27,FC Porto,POR CUP (6)·POR SC (2)·POR 1 (18)·POR LC (1)
25,Sporting Lissabon,POR 1 (17)·POR LC (2)·POR CUP (5)·POR SC (1)
21,Benfica Lissabon,POR SC (1)·POR 1 (14)·POR LC (2)·POR CUP (4)
15,Sporting Braga,POR CUP (2)·POR 1 (10)·POR LC (3)
11,Boavista FC,POR LC (1)·POR 1 (10)
11,FC Arouca,POR 1 (9)·POR LC (1)·POR CUP (1)
11,FC Famalicao,POR 1 (11)
11,Moreirense FC,POR 1 (11)
10,Estoril Praia,POR 1 (7)·POR LC (2)·POR CUP (1)
10,FC Vizela,POR 1 (8)·POR CUP (2)
9,Casa Pia AC,POR 1 (7)·POR LC (2)
9,Gil Vicente,POR 1 (7)·POR CUP (2)
9,SC Farense,POR LC (2)·POR 1 (7)
9,Vitoria Guimaraes,POR LC (1)·POR 1 (4)·POR CUP (4)
8,Academico Viseu,POR 2 (8)
8,CF Estrela,POR 1 (8)
8,GD Chaves,POR 1 (8)
7,AVS Futebol SAD,POR 2 (6)·POR 1 (1)
7,Uniao de Leiria,POR LC (1)·POR 2 (4)·POR CUP (2)
6,CD Feirense,POR 2 (6)
6,CD Santa Clara,POR 2 (4)·POR CUP (2)
6,FC Vilaverdense,POR 2 (6)
6,Portimonense SC,POR 1 (6)
6,Rio Ave FC,POR 1 (6)
5,CD Nacional,POR LC (2)·POR CUP (1)·POR 2 (2)
5,CD Tondela,POR LC (2)·POR CUP (1)·POR 2 (2)
5,FC Pacos Ferreira,POR 2 (5)
5,FC Penafiel,POR 2 (4)·POR CUP (1)
4,CD Mafra,POR 2 (4)
4,CF OS Belenenses,POR 2 (4)
3,Leixoes SC,POR 2 (3)
3,Maritimo Funchal,POR 1 (1)·POR CUP (1)·POR 2 (1)
3,SCU Torreense,POR 2 (3)
2,FC Porto B,POR 2 (2)
1,Amarante FC,POR CUP (1)
1,Belenenses SAD,POR 2 (1)
1,Benfica Lissabon B,POR 2 (1)
