count,name,leagues
14,Club Libertad,COPA L (7)·COPA S (5)·PAR 1 (2)
8,Cerro Porteno,COPA L (7)·COPA S (1)
8,Sportivo Trini,COPA L (4)·COPA S (4)
7,Nacional Asunc,COPA L (3)·COPA S (4)
5,Ol. Asuncion,COPA L (4)·COPA S (1)
5,Tacuary Asuncion,PAR 1 (5)
4,Guar. Asuncion,COPA S (4)
4,Sol de America,PAR 1 (4)
4,Sportivo Ameliano,PAR 1 (4)
4,Sportivo Luqueno,PAR 1 (4)
3,Gen.Caballero JLM,PAR 1 (3)
3,Guarani Asuncion,PAR 1 (3)
3,Nacional Asuncion,PAR 1 (3)
3,Sp. Ameliano,COPA S (3)
3,Sp. Luqueno,COPA S (3)
2,Olimpia Asuncion,PAR 1 (2)
2,Sportivo Trinidens,PAR 1 (2)
1,CS 2 DE Mayo,PAR 1 (1)
1,Club Cerro Porteno,PAR 1 (1)
1,Guairena FC,PAR 1 (1)
1,Resistencia FC,PAR 1 (1)
1,Tacuary Asunci,COPA S (1)
