count,name,leagues
29,Glasgow Rangers,SCO PS (26)·SCO LC (1)·SCO FA (2)
25,Celtic Glasgow,SCO PS (22)·SCO FA (3)
24,FC Aberdeen,SCO PS (21)·SCO FA (2)·SCO LC (1)
21,FC Dundee,SCO LC (5)·SCO PS (16)
21,Heart of Midl.,SCO PS (18)·SCO LC (1)·SCO FA (2)
20,FC Motherwell,SCO PS (15)·SCO LC (4)·SCO FA (1)
20,FC Ross County,SCO PS (18)·SCO LC (2)
19,FC St. Johnstone,SCO PS (15)·SCO LC (4)
18,FC Livingston,SCO PS (12)·SCO LC (6)
16,FC St. Mirren,SCO PS (14)·SCO LC (2)
15,FC Raith Rovers,SCO LC (5)·SCO CS (7)·SCO PS (3)
15,Hibernian FC,SCO PS (14)·SCO LC (1)
14,FC Kilmarnock,SCO PS (12)·SCO LC (2)
12,Dundee United,SCO PS (1)·SCO LC (4)·SCO CS (7)
12,Dunfermline,SCO LC (5)·SCO CS (7)
12,Inverness CT,SCO FA (1)·SCO LC (4)·SCO CS (7)
12,Partick Thistle,SCO PS (5)·SCO LC (3)·SCO CS (4)
11,FC Falkirk,SCO LC (5)·SCO 1 (4)·SCO CC (1)·SCO CS (1)
10,Ayr United,SCO PS (1)·SCO LC (4)·SCO CC (1)·SCO CS (4)
10,FC Arbroath,SCO LC (5)·SCO CS (5)
10,Greenock Morton,SCO LC (3)·SCO CS (5)·SCO FA (2)
9,FC Montrose,SCO LC (4)·SCO 1 (4)·SCO CS (1)
9,FC Queens Park,SCO LC (4)·SCO CS (5)
8,Airdrie Utd.,SCO LC (3)·SCO CS (4)·SCO PS (1)
8,Cove Rangers,SCO LC (5)·SCO 1 (3)
8,FC Alloa Athletic,SCO LC (5)·SCO 1 (2)·SCO CS (1)
8,Hamilton FC,SCO LC (5)·SCO 1 (1)·SCO CS (2)
6,FC Clyde,SCO LC (5)·SCO FA (1)
6,FC Stenhousemuir,SCO LC (6)
6,Kelty Hearts FC,SCO LC (5)·SCO 1 (1)
6,Stirling Albion,SCO LC (3)·SCO 1 (3)
5,Elgin City,SCO LC (5)
5,FC Brechin City,SCO LC (5)
5,FC East Fife,SCO LC (5)
5,FC Spartans,SCO LC (5)
5,Forfar Athletic,SCO LC (5)
5,Queen of the South,SCO LC (5)
4,Annan Athletic,SCO LC (3)·SCO 1 (1)
4,FC Stranraer,SCO LC (4)
3,Bonnyrigg Rose,SCO LC (3)
3,Edinburgh City,SCO LC (2)·SCO 1 (1)
3,FC Dumbarton,SCO LC (3)
2,FC Albion Rovers,SCO LC (2)
2,FC Cowdenbeath,SCO LC (2)
2,Peterhead FC,SCO LC (2)
1,East Kilbride,SCO LC (1)
