count,name,leagues
17,Ol. Ljubljana,UEFA CL (6)·UEFA EL (2)·UEFA CONF (6)·UEFA CONF Q (3)
16,NK Maribor,UEFA CONF (6)·SLO 1 (5)·UEFA EL Q (2)·UEFA CONF Q (3)
14,NK Celje,UEFA CONF (5)·SLO 1 (4)·SLO CUP (1)·UEFA CL Q (3)·UEFA EL Q (1)
7,NK Domzale,UEFA CONF (2)·SLO CUP (1)·SLO 1 (4)
7,NS Mura,SLO 1 (5)·SLO CUP (2)
6,NK Bravo,UEFA CONF Q (4)·SLO 1 (2)
5,FC Koper,SLO 1 (4)·SLO CUP (1)
5,NK Radomlje,SLO 1 (5)
5,NK Rogaska,SLO 1 (3)·SLO CUP (2)
5,Olimpija Ljubljana,SLO 1 (5)
4,NK Aluminij,SLO 1 (4)
4,NK Nafta 1903,SLO 2 (1)·SLO CUP (1)·SLO 1 (2)
3,ASK Bravo,SLO 1 (3)
3,ND Gorica,SLO CUP (3)
2,ND Primorje,SLO 1 (2)
1,ND Beltinci,SLO CUP (1)
1,NK Bistrica,SLO 2 (1)
