count,name,leagues
21,Slov. Bratisl.,UEFA CL (6)·UEFA EL (2)·UEFA CONF (8)·UEFA CL Q (5)
15,Spartak Trnava,UEFA CONF (12)·UEFA CONF Q (3)
7,MFK Ruzomberok,SVK CUP (2)·UEFA EL Q (4)·UEFA CONF Q (1)
5,MSK Zilina,UEFA CONF (4)·SVK CUP (1)
4,Dunajska Str.,UEFA CONF (2)·UEFA CONF Q (2)
2,FC Spartak Trnava,SVK CUP (2)
2,Slovan Bratislava,SVK 1 (1)·SVK CUP (1)
1,Dunajska Streda,SVK CUP (1)
1,FC Kosice,SVK 1 (1)
1,FK Humenne,SVK 2 (1)
1,Povazska Bystrica,SVK 2 (1)
1,Sport Podbrezova,SVK CUP (1)
1,Tatran Presov,SVK 1 (1)
1,Zlate Moravce,SVK 1 (1)
