count,name,leagues
24,Inter Miami CF,US CUP (3)·USA MLS (21)
21,NY Red Bulls,US CUP (1)·USA MLS (20)
16,FC Cincinnati,US CUP (3)·USA MLS (13)
15,Orlando City SC,USA MLS (15)
15,Real Salt Lake,USA MLS (13)·US CUP (2)
14,Chicago Fire,USA MLS (13)·US CUP (1)
14,LA Galaxy,US CUP (2)·USA MLS (12)
13,Los Angeles FC,US CUP (1)·USA MLS (12)
13,New England Rev.,USA MLS (13)
13,Sp. Kansas City,USA MLS (12)·US CUP (1)
12,Columbus Crew,USA MLS (12)
12,Houston Dynamo,USA MLS (10)·US CUP (2)
12,New York City FC,USA MLS (12)
12,Vancouver W'caps,USA MLS (12)
11,CF Montreal,USA MLS (11)
11,Colorado Rapids,USA MLS (11)
11,San Jose Earthqua,USA MLS (11)
11,Seattle Sounders,USA MLS (11)
10,FC Dallas,USA MLS (9)·US CUP (1)
10,FC Minnesota Utd.,USA MLS (10)
10,FC Toronto,USA MLS (10)
10,Nashville SC,US CUP (1)·USA MLS (9)
10,Philadelphia Union,USA MLS (10)
9,Atlanta United FC,USA MLS (9)
9,Austin FC,USA MLS (9)
9,Charlotte FC,USA MLS (9)
9,DC United,USA MLS (9)
9,Portland Timbers,USA MLS (9)
9,Saint Louis City,USA MLS (9)
1,Birmingham Legion,US CUP (1)
1,Pittsburgh Riverho,US CUP (1)
