count,name,leagues
9,Defensor Sporting,URU 1 (7)·URU CUP (2)
8,Cerro Largo FC,URU 1 (8)
7,Liverpool Montev.,URU 1 (7)
7,Montevideo City,URU 1 (6)·URU CUP (1)
7,Nacional de Footb.,URU 1 (7)
6,CA Boston River,URU 1 (6)
6,CA River Plate,URU 1 (5)·URU CUP (1)
6,Danubio FC,URU 1 (6)
5,CA Penarol,URU 1 (5)
5,La Luz FC,URU 1 (5)
5,Montev. Wanderers,URU 1 (5)
4,CA Cerro,URU 1 (4)
4,D. Maldonado,URU 1 (4)
3,CA Progreso,URU 1 (3)
3,Fenix Montevideo,URU 1 (3)
3,Plaza Colonia,URU 1 (3)
2,RC Montevideo,URU 1 (2)
2,Rampla Juniors FC,URU 1 (2)
