names,code
Liverpool FC | Liverpool,ENG
AC Milan | Milan,ITA
Chelsea FC | Chelsea,ENG
PSV Eindhoven | PSV,NED
FC Bayern München | Bayern,GER
FC Internazionale Milano | Inter,ITA
Juventus,ITA
Olympique Lyonnais | Lyon,FRA
Arsenal FC | Arsenal,ENG
FC Barcelona | Barcelona,ESP
SV Werder Bremen | Bremen,GER
FC Porto,POR
Bayer 04 Leverkusen | Leverkusen,GER
Manchester United | Man United,ENG
AS Monaco FC | Monaco,FRA
Real Madrid CF | Real Madrid,ESP
AFC Ajax | Ajax,NED
RSC Anderlecht | Anderlecht,BEL
Celtic FC | Celtic,SCO
PFC CSKA Moskva | CSKA Moskva,RUS
Real Club Deportivo La Coruña | Deportivo,ESP
FC Dynamo Kyiv | Dynamo Kyiv,UKR
Fenerbahçe SK | Fenerbahçe,TUR
Maccabi Tel Aviv FC | Maccabi Tel Aviv,ISR
Olympiacos FC | Olympiacos,GRE
Panathinaikos FC | Panathinaikos,GRE
Paris Saint-Germain | Paris,FRA
AS Roma | Roma,ITA
Rosenborg BK | Rosenborg,NOR
FC Shakhtar Donetsk | Shakhtar Donetsk,UKR
AC Sparta Praha | Sparta Praha,CZE
Valencia CF | Valencia,ESP
FC Baník Ostrava | Baník,CZE
FC Basel 1893 | Basel,SUI
SL Benfica | Benfica,POR
Club Brugge,BEL
FK Crvena zvezda | Crvena zvezda,SRB
FC Dinamo Bucureşti | Dinamo Bucureşti,ROU
Djurgårdens IF | Djurgården,SWE
Ferencvárosi TC | Ferencváros,HUN
Grazer AK | GAK,AUT
ND Gorica | Gorica,SVN
Maccabi Haifa FC | Maccabi Haifa,ISR
PAOK FC | PAOK,GRE
Rangers FC | Rangers,SCO
Shelbourne FC | Shelbourne,IRL
Trabzonspor,TUR
Wisła Kraków,POL
APOEL FC | APOEL,CYP
F.C. Copenhagen | Copenhagen,DEN
HNK Hajduk Split | Hajduk Split,CRO
HJK Helsinki | HJK,FIN
FBK Kaunas | Kaunas,LTU
PFC Lokomotiv Plovdiv | Lokomotiv Plovdiv,BUL
Neftçi PFK | Neftçi,AZE
FC Pyunik | Pyunik,ARM
FC Sheriff Tiraspol | Sheriff,MDA
Skonto FC | Skonto,LVA
KF Tirana | Tirana,ALB
FC WIT Georgia | WIT Georgia,GEO
BSC Young Boys | Young Boys,SUI
MŠK Žilina | Žilina,SVK
FC Flora Tallinn | Flora Tallinn,EST
FC Gomel | Gomel,BLR
HB Tórshavn | HB,FRO
AS Jeunesse Esch | Jeunesse Esch,LUX
KR Reykjavík | KR,ISL
Linfield FC | Linfield,NIR
FK Pobeda | Pobeda,MKD
Rhyl FC | Rhyl,WAL
NK Široki Brijeg | Široki Brijeg,BIH
Sliema Wanderers FC | Sliema,MLT
