names,code
TSV 1860 München | 1860 München,GER
Aalborg BK | AaB,DEN
FC Aarau | Aarau,SUI
Akademisk Boldklub | AB,DEN
Aberdeen FC | Aberdeen,SCO
ACS Campionii FC Arges,ROU
SK Admira Wacker Wien | Admira,AUT
AEK Athens FC | AEK Athens,GRE
AEK Larnaca FC | AEK Larnaca,CYP
AEL Limassol FC | AEL,CYP
AGF Aarhus | AGF,DEN
AIK,SWE
AFC Ajax | Ajax,NED
FC Aktobe | Aktobe,KAZ
FC Alania Vladikavkaz | Alania,RUS
Alashkert FC | Alashkert,ARM
FC Amsterdam | Amsterdam,NED
RSC Anderlecht | Anderlecht,BEL
Anorthosis Famagusta FC | Anorthosis,CYP
Royal Antwerp FC | Antwerp,BEL
APOEL FC | APOEL,CYP
Apollon Limassol FC | Apollon,CYP
FC Araks Ararat | Araks,ARM
FC Ararat | Ararat,ARM
Ararat-Armenia FC | Ararat-Armenia,ARM
Ards FC | Ards,NIR
FC Aris Bonnevoie | Aris,LUX
Aris Limassol FC | Aris Limassol,CYP
Arsenal FC | Arsenal,ENG
FC Astana | Astana,KAZ
FC Astana 64 | Astana 64,KAZ
Aston Villa FC | Aston Villa,ENG
FC Astra Giurgiu | Astra,ROU
Atalanta BC | Atalanta,ITA
Athletic Club,ESP
Athlone Town AFC | Athlone,IRL
Atlètic Club d'Escaldes | Atlètic Escaldes,AND
Club Atlético de Madrid | Atlético de Madrid,ESP
FC Wismut Aue | Aue,GER
FK Austria Wien | Austria Wien,AUT
AJ Auxerre | Auxerre,FRA
FC Avenir Beggen | Avenir,LUX
AZ Alkmaar,NED
Åtvidabergs FF | Åtvidaberg,SWE
B 1903 København | B 1903,DEN
B 1909 Odense | B 1909,DEN
B 1913 Odense | B 1913,DEN
B36 Tórshavn,FRO
B68 Toftir | B68,FRO
Bakı FK | Bakı,AZE
FC Ballkani | Ballkani,KOS
Bangor City FC | Bangor,WAL
FC Baník Ostrava | Baník,CZE
FC Barcelona | Barcelona,ESP
Barry Town United AFC | Barry,WAL
FC Basel 1893 | Basel,SUI
FC BATE Borisov | BATE Borisov,BLR
FC Bayern München | Bayern,GER
Beitar Jerusalem FC | Beitar Jerusalem,ISR
FC Belshina Bobruisk | Belshina,BLR
SL Benfica | Benfica,POR
Berliner FC Dynamo | Berlin,GER
FC Beroe 2000 Kazanlak | Beroe,BUL
Beşiktaş JK | Beşiktaş,TUR
KSK Beveren | Beveren,BEL
Birkirkara FC | Birkirkara,MLT
Blackburn Rovers FC | Blackburn,ENG
Boavista FC | Boavista,POR
FK Bodø/Glimt | Bodø/Glimt,NOR
Bohemian FC | Bohemians,IRL
Bohemians Praha,CZE
Bologna FC | Bologna,ITA
FK Borac Banja Luka | Borac,BIH
FC Girondins de Bordeaux | Bordeaux,FRA
PFC Botev Plovdiv | Botev Plovdiv,BUL
SC Braga | Braga,POR
SK Brann | Brann,NOR
TSV Eintracht Braunschweig | Braunschweig,GER
Breidablik,ISL
SV Werder Bremen | Bremen,GER
Stade Brestois 29 | Brest,FRA
FC Zbrojovka Brno | Brno,CZE
Brøndby IF | Brøndby,DEN
NK Brotnjo | Brotnjo,BIH
FC Molenbeek Brussels Strombeek | Brussels,BEL
FK Budućnost Podgorica | Budućnost Podgorica,MNE
Burnley FC | Burnley,ENG
Bursaspor,TUR
Cagliari Calcio | Cagliari,ITA
NK Celje | Celje,SVN
RC Celta de Vigo | Celta,ESP
Celtic FC | Celtic,SCO
CFR 1907 Cluj | CFR Cluj,ROU
FC La Chaux-de-Fonds | Chaux-de-Fonds,SUI
Chelsea FC | Chelsea,ENG
Chemnitzer FC | Chemnitz,GER
AC Chievo Verona | Chievo,ITA
Cliftonville FC | Cliftonville,NIR
Club Brugge,BEL
Coleraine FC | Coleraine,NIR
Connah's Quay Nomads FC | Connah's Quay,WAL
F.C. Copenhagen | Copenhagen,DEN
Cork City FC | Cork,IRL
Cork Celtic FC | Cork Celtic,IRL
Cork Hibernians FC | Cork Hibs,IRL
Crusaders FC | Crusaders,NIR
FK Crvena zvezda | Crvena zvezda,SRB
Csepel SC | Csepel,HUN
PFC CSKA Moskva | CSKA Moskva,RUS
PFC CSKA Sofia | CSKA Sofia,BUL
Cwmbran Town FC | Cwmbran,WAL
FC Dacia Chisinau | Dacia,MDA
FC Daugava Daugavpils | Daugava Daugavpils,LVA
Debreceni VSC | Debrecen,HUN
FK Dečić | Dečić,MNE
Real Club Deportivo La Coruña | Deportivo,ESP
Derby County FC | Derby,ENG
Derry City FC | Derry,IRL
F91 Diddeleng | Diddeleng,LUX
FC Differdange 03 | Differdange,LUX
FC Dila Gori | Dila,GEO
FC Dinamo Batumi | Dinamo Batumi,GEO
FC Dinamo Brest | Dinamo Brest,BLR
FC Dinamo Bucureşti | Dinamo Bucureşti,ROU
FC Dinamo City | Dinamo City,ALB
FC Dinamo Minsk | Dinamo Minsk,BLR
FC Dinamo Tbilisi | Dinamo Tbilisi,GEO
GNK Dinamo | Dinamo Zagreb,CRO
Lisburn Distillery FC | Distillery,NIR
