names,code
Feyenoord,NED
AS Roma | Roma,ITA
Leicester City FC | Leicester,ENG
Olympique de Marseille | Marseille,FRA
FK Bodø/Glimt | Bodø/Glimt,NOR
PAOK FC | PAOK,GRE
PSV Eindhoven | PSV,NED
SK Slavia Praha | Slavia Praha,CZE
AZ Alkmaar,NED
FC Basel 1893 | Basel,SUI
F.C. Copenhagen | Copenhagen,DEN
KAA Gent | Gent,BEL
LASK,AUT
FK Partizan | Partizan,SRB
Stade Rennais FC | Rennes,FRA
Vitesse,NED
Celtic FC | Celtic,SCO
Fenerbahçe SK | Fenerbahçe,TUR
Maccabi Tel Aviv FC | Maccabi Tel Aviv,ISR
FC Midtjylland | Midtjylland,DEN
Qarabağ FK | Qarabağ,AZE
Randers FC | Randers,DEN
SK Rapid Wien | Rapid Wien,AUT
AC Sparta Praha | Sparta Praha,CZE
Alashkert FC | Alashkert,ARM
Anorthosis Famagusta FC | Anorthosis,CYP
CFR 1907 Cluj | CFR Cluj,ROU
PFC CSKA-Sofia | CSKA-Sofia,BUL
FC Flora Tallinn | Flora Tallinn,EST
HJK Helsinki | HJK,FIN
FK Jablonec | Jablonec,CZE
FC Kairat Almaty | Kairat,KAZ
Lincoln Red Imps FC | Lincoln Red Imps,GIB
Maccabi Haifa FC | Maccabi Haifa,ISR
NŠ Mura | Mura,SVN
AC Omonoia | Omonoia,CYP
ŠK Slovan Bratislava | Slovan Bratislava,SVK
Tottenham Hotspur FC | Tottenham,ENG
1. FC Union Berlin | Union Berlin,GER
FC Zorya Luhansk | Zorya Luhansk,UKR
Aberdeen FC | Aberdeen,SCO
RSC Anderlecht | Anderlecht,BEL
IF Elfsborg | Elfsborg,SWE
CS Fola Esch | Fola,LUX
Hapoel Beer Sheva FC | H. Beer Sheva,ISR
Hammarby Fotboll | Hammarby,SWE
KuPS Kuopio | KuPS,FIN
Neftçi PFK | Neftçi,AZE
FC Paços de Ferreira | Paços Ferreira,POR
Raków Częstochowa | Raków,POL
Riga FC | Riga,LVA
HNK Rijeka | Rijeka,CRO
Rosenborg BK | Rosenborg,NOR
CD Santa Clara | Santa Clara,POR
FC Shakhter Karagandy | Shakhter,KAZ
Shamrock Rovers FC | Shamrock Rovers,IRL
Sivasspor,TUR
St Johnstone FC | St Johnstone,SCO
Trabzonspor,TUR
FC Viktoria Plzeň | Viktoria Plzeň,CZE
FK Žalgiris Vilnius | Žalgiris Vilnius,LTU
MŠK Žilina | Žilina,SVK
AEL Limassol FC | AEL,CYP
FC Astana | Astana,KAZ
Bohemian FC | Bohemians,IRL
Breidablik,ISL
FK Čukarički | Čukarički,SRB
FC Dinamo Batumi | Dinamo Batumi,GEO
NK Domžale | Domžale,SVN
Dundalk FC | Dundalk,IRL
HB Tórshavn | HB,FRO
Hibernian FC | Hibernian,SCO
Hibernians FC | Hibernians,MLT
FC Kolos Kovalivka | Kolos Kovalivka,UKR
KF Laçi | Laç,ALB
Larne FC | Larne,NIR
Linfield FC | Linfield,NIR
PFC Lokomotiv Plovdiv | Lokomotiv Plovdiv,BUL
FC Luzern | Luzern,SUI
Molde FK | Molde,NOR
NK Olimpija Ljubljana | Olimpija Ljubljana,SVN
NK Osijek | Osijek,CRO
FC Prishtina | Prishtina,KOS
FC RFS | RFS,LVA
FC Rubin | Rubin,RUS
Śląsk Wrocław | Śląsk,POL
FC Sochi | Sochi,RUS
FC Spartak Trnava | Spartak Trnava,SVK
KF Teuta | Teuta,ALB
The New Saints FC | The New Saints,WAL
