names,code
Club Atlético de Madrid | Atlético de Madrid,ESP
Fulham FC | Fulham,ENG
Hamburger SV | Hamburg,GER
Liverpool FC | Liverpool,ENG
SL Benfica | Benfica,POR
R. Standard de Liège | Standard Liège,BEL
Valencia CF | Valencia,ESP
VfL Wolfsburg | Wolfsburg,GER
RSC Anderlecht | Anderlecht,BEL
SV Werder Bremen | Bremen,GER
Juventus,ITA
LOSC Lille | Lille,FRA
Olympique de Marseille | Marseille,FRA
Panathinaikos FC | Panathinaikos,GRE
FC Rubin | Rubin,RUS
Sporting Clube de Portugal | Sporting CP,POR
AFC Ajax | Ajax,NED
Athletic Club,ESP
Club Brugge,BEL
F.C. Copenhagen | Copenhagen,DEN
Everton FC | Everton,ENG
Fenerbahçe SK | Fenerbahçe,TUR
Galatasaray A.Ş. | Galatasaray,TUR
Hapoel Tel Aviv FC | H. Tel Aviv,ISR
Hertha BSC Berlin | Hertha,GER
PSV Eindhoven | PSV,NED
AS Roma | Roma,ITA
FC Salzburg | Salzburg,AUT
FC Shakhtar Donetsk | Shakhtar Donetsk,UKR
FC Twente | Twente,NED
FC Unirea Urziceni | Unirea Urziceni,ROU
Villarreal CF | Villarreal,ESP
AEK Athens FC | AEK Athens,GRE
FK Austria Wien | Austria Wien,AUT
FC Basel 1893 | Basel,SUI
FC BATE Borisov | BATE Borisov,BLR
Celtic FC | Celtic,SCO
CFR 1907 Cluj | CFR Cluj,ROU
PFC CSKA Sofia | CSKA Sofia,BUL
FC Dinamo Bucureşti | Dinamo Bucureşti,ROU
GNK Dinamo | Dinamo Zagreb,CRO
FCSB,ROU
Genoa CFC | Genoa,ITA
sc Heerenveen | Heerenveen,NED
S.S. Lazio | Lazio,ITA
PFC Levski Sofia | Levski,BUL
CD Nacional | Nacional,POR
FK Partizan | Partizan,SRB
SK Rapid Wien | Rapid Wien,AUT
FC Sheriff Tiraspol | Sheriff,MDA
SK Slavia Praha | Slavia Praha,CZE
AC Sparta Praha | Sparta Praha,CZE
SK Sturm Graz | Sturm Graz,AUT
FC Timişoara | Timişoara,ROU
Toulouse FC | Toulouse,FRA
FK Ventspils | Ventspils,LVA
FC Aktobe | Aktobe,KAZ
FC Amkar Perm | Amkar,RUS
Aston Villa FC | Aston Villa,ENG
Bakı FK | Bakı,AZE
Bnei Yehuda Tel-Aviv FC | Bnei Yehuda,ISR
Brøndby IF | Brøndby,DEN
FK Crvena zvezda | Crvena zvezda,SRB
FC Dynamo Moscow | Dynamo Moscow,RUS
IF Elfsborg | Elfsborg,SWE
KRC Genk | Genk,BEL
EA Guingamp | Guingamp,FRA
Heart of Midlothian FC | Hearts,SCO
FC Košice | Košice,SVK
Lech Poznań,POL
FCI Levadia Tallinn | Levadia,EST
FC Slovan Liberec | Liberec,CZE
PFC Litex Lovech | Litex,BUL
NK Maribor | Maribor,SVN
FC Metalist Kharkiv | Metalist,UKR
FC Metalurh Donetsk | Metalurh Donetsk,UKR
NAC Breda | NAC,NED
Odense BK | OB,DEN
SK Sigma Olomouc | Olomouc,CZE
PAOK FC | PAOK,GRE
Qarabağ FK | Qarabağ,AZE
FK Sarajevo | Sarajevo,BIH
FC Sion | Sion,SUI
Sivasspor,TUR
ŠK Slovan Bratislava | Slovan Bratislava,SVK
Saint Patrick's Athletic FC | St Patrick's,IRL
Stabæk Fotball | Stabæk,NOR
FK Teplice | Teplice,CZE
Trabzonspor,TUR
Tromsø IL | Tromsø,NOR
FC Vaslui | Vaslui,ROU
FC Vorskla Poltava | Vorskla Poltava,UKR
FC Zenit | Zenit,RUS
MŠK Žilina | Žilina,SVK
Aberdeen FC | Aberdeen,SCO
APOP/Kinyras Peyias FC | APOP,CYP
SC Braga | Braga,POR
PFC Cherno More | Cherno More,BUL
Derry City FC | Derry,IRL
FC Dinamo Tbilisi | Dinamo Tbilisi,GEO
Fredrikstad FK | Fredrikstad,NOR
KAA Gent | Gent,BEL
IFK Göteborg | Göteborg,SWE
HNK Hajduk Split | Hajduk Split,CRO
Helsingborgs IF | Helsingborg,SWE
FC Honka Espoo | Honka,FIN
Budapest Honvéd FC | Honvéd,HUN
NK IB Ljubljana | IB Ljubljana,SVN
KR Reykjavík | KR,ISL
PFC Krylya Sovetov Samara | Krylya Sovetov,RUS
FC Lahti | Lahti,FIN
Legia Warszawa | Legia,POL
Maccabi Netanya FC | M. Netanya,ISR
Motherwell FC | Motherwell,SCO
AC Omonoia | Omonoia,CYP
FC Paços de Ferreira | Paços Ferreira,POR
OFK Petrovac | Petrovac,MNE
KSP Polonia Warszawa | Polonia Warszawa,POL
FK Rabotnicki | Rabotnicki,MKD
Randers FC | Randers,DEN
HNK Rijeka | Rijeka,CRO
NK Slaven | Slaven,CRO
FK Slavija Sarajevo | Slavija,BIH
FK Sloboda Užice | Sloboda Užice,SRB
FC Vaduz | Vaduz,LIE
Vålerenga Fotball | Vålerenga,NOR
FK Vėtra | Vėtra,LTU
FK Vojvodina | Vojvodina,SRB
BSC Young Boys | Young Boys,SUI
Aalborg BK | AaB,DEN
Anorthosis Famagusta FC | Anorthosis,CYP
Bangor City FC | Bangor,WAL
Crusaders FC | Crusaders,NIR
FC Dacia Chisinau | Dacia,MDA
FC Differdange 03 | Differdange,LUX
FC Dinaburg | Dinaburg,LVA
FC Dinamo Minsk | Dinamo Minsk,BLR
Falkirk FC | Falkirk,SCO
FC Santa Coloma,AND
KS Flamurtari | Flamurtari,ALB
FC Flora Tallinn | Flora Tallinn,EST
Fram,ISL
FC Gandzasar | Gandzasar,ARM
ND Gorica | Gorica,SVN
Szombathelyi Haladás | Haladás,HUN
HB Tórshavn | HB,FRO
HJK Helsinki | HJK,FIN
FC Iskra-Stal | Iskra-Stal,MDA
AC Juvenes/Dogana | Juvenes/Dogana,SMR
FBK Kaunas | Kaunas,LTU
AE Larissa FC | Larissa,GRE
SK Liepājas Metalurgs | Liepājas Metalurgs,LVA
FC Metalurgi Rustavi | Metalurgi Rustavi,GEO
FK Milano | Milano,MKD
FC Naftan Novopolotsk | Naftan,BLR
FC Partizan Minsk | Partizan Minsk,BLR
Rosenborg BK | Rosenborg,NOR
NK Rudar Velenje | Rudar Velenje,SVN
NK Široki Brijeg | Široki Brijeg,BIH
Skonto FC | Skonto,LVA
Sliema Wanderers FC | Sliema,MLT
FC Spartak Trnava | Spartak Trnava,SVK
FK Sūduva | Sūduva,LTU
FC Tobol Kostanay | Tobol,KAZ
Újpest FC | Újpest,HUN
Valletta FC | Valletta,MLT
KF Vllaznia | Vllaznia,ALB
FC Zestafoni | Zestafoni,GEO
FC Zimbru Chisinau | Zimbru,MDA
B36 Tórshavn,FRO
Birkirkara FC | Birkirkara,MLT
FK Budućnost Podgorica | Budućnost Podgorica,MNE
FC Dinamo City | Dinamo City,ALB
Lisburn Distillery FC | Distillery,NIR
CS Grevenmacher | Grevenmacher,LUX
FC Irtysh Pavlodar | Irtysh,KAZ
UN Käerjéng 97 | Käerjéng,LUX
Nõmme Kalju FC | Kalju,EST
Keflavík,ISL
Linfield FC | Linfield,NIR
Llanelli AFC | Llanelli,WAL
FC Mika | Mika,ARM
NSÍ Runavík | NSÍ,FRO
FC Okzhetpes Kokshetau | Okzhetpes,KAZ
KF Renova | Renova,MKD
FK Şamaxı | Şamaxı,AZE
Simurq PFK | Simurq,AZE
Sligo Rovers FC | Sligo,IRL
FK Sutjeska | Sutjeska,MNE
The New Saints FC | The New Saints,WAL
JK Narva Trans | Trans,EST
FC Urartu | Urartu,ARM
