names,code
TSV 1860 München | 1860 München,GER
Aalborg BK | AaB,DEN
TSV Alemannia Aachen | Aachen,GER
Aalesunds FK | Aalesund,NOR
FC Aarau | Aarau,SUI
Akademisk Boldklub | AB,DEN
Aberdeen FC | Aberdeen,SCO
Aberystwyth Town FC | Aberystwyth,WAL
A. Académica de Coimbra | Académica,POR
ACS Campionii FC Arges,ROU
Adanaspor AŞ | Adanaspor,TUR
FC Admira Wacker Mödling | Admira,AUT
SK Admira Wacker Wien | Admira,AUT
AEK Athens FC | AEK Athens,GRE
AEK Larnaca FC | AEK Larnaca,CYP
AEL Limassol FC | AEL,CYP
Afan Lido FC | Afan Lido,WAL
AGF Aarhus | AGF,DEN
AIK,SWE
AFC Ajax | Ajax,NED
PFC Akademik Sofia | Akademik,BUL
Akhisar Belediyespor | Akhisar,TUR
FC Akhmat Grozny | Akhmat,RUS
FC Aktobe | Aktobe,KAZ
FC Alania Vladikavkaz | Alania,RUS
Alanyaspor,TUR
Alashkert FC | Alashkert,ARM
Deportivo Alavés | Alavés,ESP
Alki Larnaca FC | Alki,CYP
AC Allianssi | Allianssi,FIN
FC Alma-Ata | Alma-Ata,KAZ
SCR Altach | Altach,AUT
Altay GK | Altay,TUR
FC Ameri Tbilisi | Ameri,GEO
Amica Wronki,POL
FC Amkar Perm | Amkar,RUS
FC Amsterdam | Amsterdam,NED
RSC Anderlecht | Anderlecht,BEL
FC Anji | Anji,RUS
MKE Ankaragücü | Ankaragücü,TUR
Anorthosis Famagusta FC | Anorthosis,CYP
Antalyaspor,TUR
Royal Antwerp FC | Antwerp,BEL
APOEL FC | APOEL,CYP
Apollon Limassol FC | Apollon,CYP
Apollon Athens FC | Apollon,GRE
KF Apolonia | Apolonia,ALB
APOP/Kinyras Peyias FC | APOP,CYP
FC Araks Ararat | Araks,ARM
FC Ararat | Ararat,ARM
Ararat-Armenia FC | Ararat-Armenia,ARM
Ards FC | Ards,NIR
FC Aris Bonnevoie | Aris,LUX
Aris Limassol FC | Aris Limassol,CYP
Aris Thessaloniki FC | Aris Thessaloniki ,GRE
Arka Gdynia | Arka,POL
FC Arouca | Arouca,POR
Arsenal FC | Arsenal,ENG
FC Arsenal Kyiv | Arsenal Kyiv,UKR
FC Arsenal Tula | Arsenal Tula,RUS
AS Victoria Bucuresti,ROU
FC Ashdod | Ashdod,ISR
FC Astana | Astana,KAZ
FC Astana 64 | Astana 64,KAZ
Asteras Tripolis FC | Asteras,GRE
Aston Villa FC | Aston Villa,ENG
FC Astra Giurgiu | Astra,ROU
Atalanta BC | Atalanta,ITA
Athletic Club,ESP
Athlone Town AFC | Athlone,IRL
FK Atlantas | Atlantas,LTU
Club Atlético de Madrid | Atlético de Madrid,ESP
Atromitos FC | Atromitos,GRE
FC Atyrau | Atyrau,KAZ
FC Wismut Aue | Aue,GER
FC Augsburg | Augsburg,GER
SK Austria Kärnten | Austria Kärnten,AUT
FK Austria Wien | Austria Wien,AUT
AJ Auxerre | Auxerre,FRA
FC Avenir Beggen | Avenir,LUX
AZ Alkmaar,NED
Åtvidabergs FF | Åtvidaberg,SWE
B 1903 København | B 1903,DEN
B36 Tórshavn,FRO
B68 Toftir | B68,FRO
B71 Sandoy | B71,FRO
Bakı FK | Bakı,AZE
Bala Town FC | Bala,WAL
Ballymena United FC | Ballymena,NIR
Balzan FC | Balzan,MLT
FK Banat Zrenjanin | Banat,SRB
FK Banga | Banga,LTU
Bangor City FC | Bangor,WAL
Bangor FC | Bangor,NIR
FC Baník Ostrava | Baník,CZE
FC Barcelona | Barcelona,ESP
Barry Town United AFC | Barry,WAL
FC Basel 1893 | Basel,SUI
FK Baskimi | Baskimi,MKD
SC Bastia | Bastia,FRA
FC BATE Borisov | BATE Borisov,BLR
FC Bayern München | Bayern,GER
K. Beerschot AC | Beerschot,BEL
Beerschot VAC | Beerschot,BEL
SC Beira-Mar | Beira-Mar,POR
Beitar Jerusalem FC | Beitar Jerusalem,ISR
Békéscsaba 1912 Előre | Békéscsaba,HUN
FK Belasica GC | Belasica,MKD
GKS Bełchatów | Bełchatów,POL
Os Belenenses | Belenenses,POR
AC Bellinzona | Bellinzona,SUI
FC Belshina Bobruisk | Belshina,BLR
SL Benfica | Benfica,POR
Berliner FC Dynamo | Berlin,GER
PFC Beroe Stara Zagora | Beroe,BUL
FC Beroe 2000 Kazanlak | Beroe,BUL
KS Besa | Besa,ALB
Beşiktaş JK | Beşiktaş,TUR
KSK Beveren | Beveren,BEL
FK Bežanija | Bežanija,SRB
Birkirkara FC | Birkirkara,MLT
Birmingham City FC | Birmingham,ENG
Blackburn Rovers FC | Blackburn,ENG
Bnei Sakhnin FC | Bnei Sakhnin,ISR
Bnei Yehuda Tel-Aviv FC | Bnei Yehuda,ISR
Boavista FC | Boavista,POR
VfL Bochum 1848 | Bochum,GER
FK Bodø/Glimt | Bodø/Glimt,NOR
Bohemian FC | Bohemians,IRL
Bohemians Praha,CZE
FK Bokelj | Bokelj,MNE
Bologna FC | Bologna,ITA
